configuration,source_csv,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames,total_rows,warmup_rows,measured_rows,model_mean_ns,model_min_ns,model_p50_ns,model_p90_ns,model_p95_ns,model_p99_ns,model_max_ns,model_stddev_ns,model_cv_pct,model_avg_abs_jitter_ns,model_max_abs_jitter_ns,model_overruns,model_overrun_pct,block_mean_ns,block_min_ns,block_p50_ns,block_p90_ns,block_p95_ns,block_p99_ns,block_max_ns,block_stddev_ns,block_cv_pct,block_avg_abs_jitter_ns,block_max_abs_jitter_ns,block_overruns,block_overrun_pct,model_per_sample_mean_ns,model_per_sample_min_ns,model_per_sample_p50_ns,model_per_sample_p90_ns,model_per_sample_p95_ns,model_per_sample_p99_ns,model_per_sample_max_ns,model_per_sample_stddev_ns,model_per_sample_mean_us,model_per_sample_stddev_us,block_per_sample_mean_ns,block_per_sample_min_ns,block_per_sample_p50_ns,block_per_sample_p90_ns,block_per_sample_p95_ns,block_per_sample_p99_ns,block_per_sample_max_ns,block_per_sample_stddev_ns,block_per_sample_mean_us,block_per_sample_stddev_us,model_speedup_vs_naive,model_reduction_vs_naive_pct,block_speedup_vs_naive,block_reduction_vs_naive_pct,model_per_sample_speedup_vs_naive,block_per_sample_speedup_vs_naive
Naive control,sweep_naive_control.csv,layered_block,shift,per_chunk,0,16,14700,100,14600,214073.14719178082,170958.0,215041.0,234833.0,255217.29999999987,284833.42,586542.0,22789.831971760894,10.645815353639035,16333.488567920811,372468.85280821915,9,0.06164383561643835,219180.98705479453,175667.0,220042.0,240000.0,260879.14999999994,290292.83,592583.0,22971.40536240129,10.480564793085136,16400.949234171512,373402.01294520544,9,0.06164383561643835,13379.571699486301,10684.875,13440.0625,14677.0625,15951.081249999992,17802.08875,36658.875,1424.3644982350559,13.379571699486302,1.4243644982350558,13698.811690924658,10979.1875,13752.625,15000.0,16304.946874999996,18143.301875,37036.4375,1435.7128351500805,13.698811690924659,1.4357128351500805,1.0,0.0,1.0,0.0,1.0,1.0
Fused only,sweep_fused_only.csv,fused_streaming,shift,per_chunk,0,16,14700,100,14600,201727.89547945207,161875.0,202125.0,219459.0,239966.3499999999,285210.51000000007,734250.0,26341.720016767642,13.058045320980806,16246.616163238881,532522.1045205479,40,0.273972602739726,205873.22164383563,165750.0,206187.5,223629.1,245877.04999999996,289877.50000000006,739417.0,26545.941933344264,12.894315113633,16334.399493113155,533543.7783561643,40,0.273972602739726,12607.993467465754,10117.1875,12632.8125,13716.1875,14997.896874999993,17825.656875000004,45890.625,1646.3575010479776,12.607993467465754,1.6463575010479776,12867.076352739727,10359.375,12886.71875,13976.81875,15367.315624999997,18117.343750000004,46213.5625,1659.1213708340165,12.867076352739726,1.6591213708340165,1.0611975437655137,5.766838052448053,1.0646405846505942,6.071587499344555,1.0611975437655137,1.0646405846505942
Circular only,sweep_circular_only.csv,layered_block,circular,per_chunk,0,16,14700,100,14600,240099.98143835616,199709.0,241229.5,258083.0,279794.05,313458.83,603750.0,22542.67936829117,9.38887176635573,15674.270560508538,363650.01856164384,19,0.13013698630136986,244261.4084931507,203875.0,245375.0,262213.10000000003,285093.39999999985,318210.51000000007,608875.0,22688.642774396114,9.28867270288926,15736.293096265717,364613.5915068493,19,0.13013698630136986,15006.24883989726,12481.8125,15076.84375,16130.1875,17487.128125,19591.176875,37734.375,1408.9174605181981,15.00624883989726,1.4089174605181982,15266.338030821918,12742.1875,15335.9375,16388.318750000002,17818.33749999999,19888.156875000004,38054.6875,1418.0401733997571,15.266338030821919,1.4180401733997572,0.8916000155824355,-12.15791638885879,0.8973213918929013,-11.442790624939626,0.8916000155824355,0.8973213918929013
Persistent only,sweep_persistent_only.csv,layered_block,shift,persistent,0,16,14700,100,14600,202869.75458904108,164458.0,204729.0,221046.1,229381.2499999999,272084.0,395292.0,20832.307686210876,10.268809033860894,15125.713489209986,192422.24541095892,1,0.00684931506849315,206933.66746575342,168375.0,208750.0,225125.0,233833.0,276334.83,400209.0,20883.16605875688,10.09171988033941,15141.436161944079,193275.33253424658,1,0.00684931506849315,12679.359661815068,10278.625,12795.5625,13815.38125,14336.328124999995,17005.25,24705.75,1302.0192303881797,12.679359661815068,1.3020192303881797,12933.354216609589,10523.4375,13046.875,14070.3125,14614.5625,17270.926875,25013.0625,1305.197878672305,12.933354216609589,1.305197878672305,1.055224558364724,5.233441349233303,1.0591847606966518,5.587765505399123,1.055224558364724,1.0591847606966518
All combined,sweep_all_combined.csv,fused_streaming,circular,persistent,0,16,14700,100,14600,234170.28643835615,196542.0,235750.0,252254.1,262710.1,301459.41000000003,340292.0,20485.910710216634,8.748296387983205,14882.637046387692,106121.71356164385,0,0.0,238219.89575342464,200459.0,239750.0,256333.0,267254.19999999995,305876.25,344500.0,20575.285585012207,8.637097888040872,14926.840642578345,106280.10424657536,0,0.0,14635.64290239726,12283.875,14734.375,15765.88125,16419.38125,18841.213125000002,21268.25,1280.3694193885397,14.63564290239726,1.2803694193885398,14888.74348458904,12528.6875,14984.375,16020.8125,16703.387499999997,19117.265625,21531.25,1285.955349063263,14.88874348458904,1.285955349063263,0.9141772444649344,-9.387977665676583,0.9200784273772968,-8.686386969263182,0.9141772444649344,0.9200784273772968
