experiment,model,checkpoint,device,chunk_size,eval_batch_size,timed_batches,avg_batch_ms,min_batch_ms,max_batch_ms,avg_sample_us,samples_per_second,nmse_percent,num_parameters,model_dilation,model_hidden_channels,model_hidden_size,model_input_channels,model_input_size,model_kernel_size,model_num_blocks,model_num_layers,model_output_channels,model_output_size,model_size_mb_fp32,realtime_budget_us_per_sample,realtime_load_pct,headroom_x,max_realtime_sample_rate_hz,chunk_budget_ms_at_44k,chunk_budget_utilization_pct_at_44k,is_realtime_viable_44k,viability_tier
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-2_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-2_num_blocks-2/best.pt,mps,16384,1,20,0.1624333672225475,0.1465422101318836,0.1914999447762966,0.0099141459486418,100865975.26204409,0.4596116042369236,417,2.0,8.0,,1.0,,5.0,2.0,,1.0,,0.001590728759765625,22.675736961451246,0.04372138363351034,2287.210323402364,100865975.26204425,371.51927437641723,0.043721383633510406,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-2_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-2_num_blocks-3/best.pt,mps,16384,1,20,0.2134270500391721,0.2050003968179226,0.2234173007309436,0.0130265533471174,76766276.8004004,0.3183517470157645,745,2.0,8.0,,1.0,,5.0,3.0,,1.0,,0.002841949462890625,22.675736961451246,0.05744710026078774,1740.7319002358424,76766276.80040066,371.51927437641723,0.0574471002607879,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-1_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-1_num_blocks-1/best.pt,mps,16384,1,20,0.1035207184031605,0.0942912884056568,0.1261672005057335,0.0063184032228491,158267835.19983554,49.69773583711441,121,1.0,8.0,,1.0,,7.0,1.0,,1.0,,0.000461578369140625,22.675736961451246,0.027864158212764528,3588.8398004498176,158267835.19983697,371.51927437641723,0.02786415821276476,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-1_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-1_num_blocks-2/best.pt,mps,16384,1,20,0.1710686832666397,0.1552910543978214,0.2286247909069061,0.0104412038126611,95774397.08507456,0.4611399264105371,577,1.0,8.0,,1.0,,7.0,2.0,,1.0,,0.002201080322265625,22.675736961451246,0.04604570881383545,2171.755035942737,95774397.0850747,371.51927437641723,0.04604570881383552,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-1_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-1_num_blocks-3/best.pt,mps,16384,1,20,0.2173730870708823,0.209917314350605,0.2655000425875187,0.0132674003339161,75372716.19396658,0.471537741484874,1033,1.0,8.0,,1.0,,7.0,3.0,,1.0,,0.003940582275390625,22.675736961451246,0.058509235472570004,1709.1318864845102,75372716.19396691,371.51927437641723,0.05850923547257025,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-2_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-2_num_blocks-1/best.pt,mps,16384,1,20,0.1010541338473558,0.0911671668291091,0.1363325864076614,0.0061678548490817,162130923.06296286,27.537084728600444,121,2.0,8.0,,1.0,,7.0,1.0,,1.0,,0.000461578369140625,22.675736961451246,0.0272002398844503,3676.438164693081,162130923.0629649,371.51927437641723,0.02720023988445063,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-2_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-2_num_blocks-2/best.pt,mps,16384,1,20,0.1631687162443995,0.1538340002298355,0.1981658861041069,0.0099590280910888,100411404.69267096,0.5133558264316588,577,2.0,8.0,,1.0,,7.0,2.0,,1.0,,0.002201080322265625,22.675736961451246,0.04391931388170161,2276.9026007408474,100411404.69267137,371.51927437641723,0.04391931388170176,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-2_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-7_dilation-2_num_blocks-3/best.pt,mps,16384,1,20,0.2150105545297265,0.1990417949855327,0.2514580264687538,0.013123202791121,76200910.39640015,0.3744575712346092,1033,2.0,8.0,,1.0,,7.0,3.0,,1.0,,0.003940582275390625,22.675736961451246,0.057873324308843614,1727.9118003718859,76200910.39640017,371.51927437641723,0.05787332430884362,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-1_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-1_num_blocks-1/best.pt,mps,16384,1,20,0.1031020889058709,0.0935001298785209,0.1154998317360878,0.0062928521060712,158910456.36289772,11.388379680019478,113,1.0,16.0,,1.0,,3.0,1.0,,1.0,,0.000431060791015625,22.675736961451246,0.027751477787773995,3603.411708909258,158910456.3628983,371.51927437641723,0.02775147778777409,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-1_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-1_num_blocks-2/best.pt,mps,16384,1,20,0.165856210514903,0.1579159870743751,0.1877499744296074,0.01012305972381,98784362.36506084,1.4349435450004182,897,1.0,16.0,,1.0,,3.0,2.0,,1.0,,0.003421783447265625,22.675736961451246,0.0446426933820021,2240.0082168948043,98784362.36506087,371.51927437641723,0.04464269338200209,True,strong_headroom
