model,models,nmse_median,nmse_best,nmse_p90,params_median,sample_us_median,sample_us_p90,load_pct_median,load_pct_p90,viable_models_44k,viable_share_44k_pct
lstm,12,0.5226040982956114,0.3683979837772379,0.5956319948003672,5049.0,11.341786004948062,17.50688359337005,50.017276281820955,77.20535664676191,12,100.0
tcn,54,0.5348651686692723,0.2185200910168004,6.234239869271753,745.0,0.01032918532928305,0.01354518545326747,0.04555170730213825,0.05973426784890954,54,100.0
