experiment,model,nmse_percent,avg_sample_us,avg_batch_ms,num_parameters,model_size_mb_fp32,realtime_load_pct,headroom_x,is_realtime_viable_44k,viability_tier,presentation_score
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-7_dilation-2_num_blocks-3,tcn,0.2185200910168004,0.0133005727320778,0.2179165836423635,14881,0.056766510009765625,0.0586555257484631,1704.8692126439632,True,strong_headroom,0.0031215079835668954
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-5_dilation-2_num_blocks-3,tcn,0.2541871670202158,0.0140220706157379,0.2297376049682498,2769,0.010562896728515625,0.06183733141540414,1617.1461107891414,True,strong_headroom,0.0036022920968321512
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-7_dilation-2_num_blocks-3,tcn,0.2666904320564051,0.0130853109681083,0.2143897349014878,3857,0.014713287353515625,0.0577062213693576,1732.9154054280305,True,strong_headroom,0.003747266995645486
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-7_dilation-1_num_blocks-3,tcn,0.2655638799051558,0.0148747744788124,0.2437083050608635,14881,0.056766510009765625,0.06559775545156268,1524.442403731937,True,strong_headroom,0.0037679799721199807
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-5_dilation-2_num_blocks-3,tcn,0.2684982725863529,0.0134418527863999,0.2202313160523772,10657,0.040653228759765625,0.059278570788023566,1686.9502531967867,True,strong_headroom,0.003777974548418917
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-2_num_blocks-3,tcn,0.2733755727114435,0.0131677055037471,0.2157396869733929,6433,0.024539947509765625,0.058069581271524714,1722.0720006988668,True,strong_headroom,0.0038363345375134732
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-7_dilation-2_num_blocks-2,tcn,0.2801930738374914,0.0105611164258334,0.1730333315208554,7681,0.029300689697265625,0.0465745234379253,2147.096580242638,True,strong_headroom,0.003873867538373915
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-2_num_blocks-2,tcn,0.2882092447122781,0.0102839251781006,0.1684918301180005,3329,0.012699127197265625,0.045352110035423644,2204.9690724839916,True,strong_headroom,0.003973220729779805
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-5_dilation-2_num_blocks-2,tcn,0.2925061142506604,0.0102549208236268,0.1680166227743029,5505,0.020999908447265625,0.04522420083219418,2211.2054643276756,True,strong_headroom,0.004028845229797192
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-2_num_blocks-3,tcn,0.2938228922432253,0.0133188862605493,0.2182166324928403,1681,0.006412506103515625,0.05873628840902241,1702.52500981385,True,strong_headroom,0.004106761110767498
tcn_input_channels-1_output_channels-1_hidden_channels-16_kernel_size-3_dilation-2_num_blocks-2,tcn,0.302931160051662,0.0105261477756357,0.1724604051560163,897,0.003421783447265625,0.04642031169055343,2154.229395670992,True,strong_headroom,0.004170567794753318
tcn_input_channels-1_output_channels-1_hidden_channels-32_kernel_size-3_dilation-1_num_blocks-3,tcn,0.3157506531171768,0.0130839012513206,0.2143666381016373,6433,0.024539947509765625,0.05770000451832385,1733.1021173186027,True,strong_headroom,0.004388900972508681
