status,design,architecture,sample_width,weight_width,acc_width,kernel_taps,dilation,latency_cycles,steady_cycles_per_sample,finite_cycles_per_sample,steady_samples_per_sec_at_target_clock,finite_samples_per_sec_at_target_clock,max_clock_mhz,max_theoretical_samples_per_sec,total_cells,icestorm_lc,sb_lut4,sb_carry,sb_dff,sb_dffe,sb_dffsr,sb_dffesr,sb_dffess,sb_mac16,error
ok,conv1d_basic,small,8,4,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,127.89,127890000.000000,163,139,66,15,0,0,1,80,0,0,
ok,conv1d_basic,small,8,4,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,96.01,96010000.000000,140,116,67,15,0,0,1,56,0,0,
ok,conv1d_basic,small,8,4,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,103.15,103150000.000000,171,147,66,15,0,0,1,88,0,0,
ok,conv1d_basic,small,8,4,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,86.27,86270000.000000,148,124,67,15,0,0,1,64,0,0,
ok,conv1d_basic,small,8,4,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,107.33,107330000.000000,179,155,66,15,0,0,1,96,0,0,
ok,conv1d_basic,small,8,6,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,105.66,105660000.000000,132,108,67,15,0,0,1,48,0,0,
ok,conv1d_basic,small,8,6,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,127.89,127890000.000000,163,139,66,15,0,0,1,80,0,0,
ok,conv1d_basic,small,8,6,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,96.01,96010000.000000,140,116,67,15,0,0,1,56,0,0,
ok,conv1d_basic,small,8,6,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,103.15,103150000.000000,171,147,66,15,0,0,1,88,0,0,
ok,conv1d_basic,small,8,6,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,86.27,86270000.000000,148,124,67,15,0,0,1,64,0,0,
ok,conv1d_basic,small,8,6,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,107.33,107330000.000000,179,155,66,15,0,0,1,96,0,0,
ok,conv1d_basic,small,8,8,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,105.66,105660000.000000,132,108,67,15,0,0,1,48,0,0,
ok,conv1d_basic,small,8,8,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,127.89,127890000.000000,163,139,66,15,0,0,1,80,0,0,
ok,conv1d_basic,small,8,8,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,96.01,96010000.000000,140,116,67,15,0,0,1,56,0,0,
ok,conv1d_basic,small,8,8,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,103.15,103150000.000000,171,147,66,15,0,0,1,88,0,0,
ok,conv1d_basic,small,8,8,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,86.27,86270000.000000,148,124,67,15,0,0,1,64,0,0,
ok,conv1d_basic,small,8,8,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,107.33,107330000.000000,179,155,66,15,0,0,1,96,0,0,
ok,conv1d_2mult,small,4,4,16,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,146.52,48840000.000000,165,97,73,36,1,0,2,52,0,0,
ok,conv1d_2mult,small,4,4,16,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,146.52,48840000.000000,181,113,73,36,1,0,2,68,0,0,
ok,conv1d_2mult,small,4,4,24,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,124.55,41516666.666667,221,121,97,52,1,0,2,68,0,0,
ok,conv1d_2mult,small,4,4,24,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,114.74,38246666.666667,237,137,97,52,1,0,2,84,0,0,
ok,conv1d_2mult,small,4,4,32,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,277,145,121,68,1,0,2,84,0,0,
ok,conv1d_2mult,small,4,4,32,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,293,161,121,68,1,0,2,100,0,0,
ok,conv1d_2mult,small,4,6,16,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,146.52,48840000.000000,165,97,73,36,1,0,2,52,0,0,
ok,conv1d_2mult,small,4,6,16,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,146.52,48840000.000000,181,113,73,36,1,0,2,68,0,0,
ok,conv1d_2mult,small,4,6,24,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,124.55,41516666.666667,221,121,97,52,1,0,2,68,0,0,
ok,conv1d_2mult,small,4,6,24,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,114.74,38246666.666667,237,137,97,52,1,0,2,84,0,0,
ok,conv1d_2mult,small,4,6,32,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,277,145,121,68,1,0,2,84,0,0,
ok,conv1d_2mult,small,4,6,32,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,293,161,121,68,1,0,2,100,0,0,
ok,conv1d_2mult,small,4,8,16,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,146.52,48840000.000000,165,97,73,36,1,0,2,52,0,0,
ok,conv1d_2mult,small,4,8,16,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,146.52,48840000.000000,181,113,73,36,1,0,2,68,0,0,
ok,conv1d_2mult,small,4,8,24,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,124.55,41516666.666667,221,121,97,52,1,0,2,68,0,0,
ok,conv1d_2mult,small,4,8,24,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,114.74,38246666.666667,237,137,97,52,1,0,2,84,0,0,
ok,conv1d_2mult,small,4,8,32,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,277,145,121,68,1,0,2,84,0,0,
ok,conv1d_2mult,small,4,8,32,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,293,161,121,68,1,0,2,100,0,0,
ok,conv1d_2mult,small,6,4,16,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,140.19,46730000.000000,189,117,83,40,1,0,2,62,0,0,
ok,conv1d_2mult,small,6,4,16,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,133.14,44380000.000000,213,141,83,40,1,0,2,86,0,0,
ok,conv1d_2mult,small,6,4,24,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,124.55,41516666.666667,245,141,107,56,1,0,2,78,0,0,
ok,conv1d_2mult,small,6,4,24,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,124.55,41516666.666667,269,165,107,56,1,0,2,102,0,0,
ok,conv1d_2mult,small,6,4,32,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,301,165,131,72,1,0,2,94,0,0,
ok,conv1d_2mult,small,6,4,32,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,104.81,34936666.666667,325,189,131,72,1,0,2,118,0,0,
ok,conv1d_2mult,small,6,6,16,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,140.19,46730000.000000,189,117,83,40,1,0,2,62,0,0,
ok,conv1d_2mult,small,6,6,16,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,133.14,44380000.000000,213,141,83,40,1,0,2,86,0,0,
ok,conv1d_2mult,small,6,6,24,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,124.55,41516666.666667,245,141,107,56,1,0,2,78,0,0,
ok,conv1d_2mult,small,6,6,24,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,124.55,41516666.666667,269,165,107,56,1,0,2,102,0,0,
ok,conv1d_2mult,small,6,6,32,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,108.31,36103333.333333,301,165,131,72,1,0,2,94,0,0,
ok,conv1d_2mult,small,6,6,32,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,104.81,34936666.666667,325,189,131,72,1,0,2,118,0,0,
ok,conv1d_2mult,small,6,8,16,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,140.19,46730000.000000,189,117,83,40,1,0,2,62,0,0,
ok,conv1d_2mult,small,6,8,16,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,133.14,44380000.000000,213,141,83,40,1,0,2,86,0,0,
ok,conv1d_2mult,small,6,8,24,5,1,3,3.000000,3.005000,8333333.333333,8319467.554077,124.55,41516666.666667,245,141,107,56,1,0,2,78,0,0,
ok,conv1d_2mult,small,6,8,24,5,2,3,3.000000,3.005000,8333333.333333,8319467.554077,124.55,41516666.666667,269,165,107,56,1,0,2,102,0,0,
