status,design,architecture,sample_width,weight_width,acc_width,kernel_taps,dilation,latency_cycles,steady_cycles_per_sample,finite_cycles_per_sample,steady_samples_per_sec_at_target_clock,finite_samples_per_sec_at_target_clock,max_clock_mhz,max_theoretical_samples_per_sec,total_cells,icestorm_lc,sb_lut4,sb_carry,sb_dff,sb_dffe,sb_dffsr,sb_dffesr,sb_dffess,sb_mac16,error
ok,conv1d_parallel_pipelined,small,4,8,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,181.98,181980000.000000,203,134,80,33,0,0,3,86,0,0,
ok,conv1d_parallel_pipelined,small,4,8,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,177.02,177020000.000000,219,150,80,33,0,0,3,102,0,0,
ok,conv1d_parallel_pipelined,small,4,8,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,132.40,132400000.000000,347,214,144,65,0,0,3,134,0,0,
ok,conv1d_parallel_pipelined,small,4,8,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,126.53,126530000.000000,363,230,144,65,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,8,4,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,185.05,185050000.000000,263,178,100,41,0,0,3,118,0,0,
ok,conv1d_parallel_pipelined,small,8,4,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,183.15,183150000.000000,295,210,100,41,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,8,4,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,121.37,121370000.000000,407,258,164,73,0,0,3,166,0,0,
ok,conv1d_parallel_pipelined,small,8,4,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,121.37,121370000.000000,439,290,164,73,0,0,3,198,0,0,
ok,conv1d_parallel_pipelined,small,8,8,16,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,185.05,185050000.000000,263,178,100,41,0,0,3,118,0,0,
ok,conv1d_parallel_pipelined,small,8,8,16,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,183.15,183150000.000000,295,210,100,41,0,0,3,150,0,0,
ok,conv1d_parallel_pipelined,small,8,8,32,5,1,3,1.000000,1.015000,25000000.000000,24630541.871921,121.37,121370000.000000,407,258,164,73,0,0,3,166,0,0,
ok,conv1d_parallel_pipelined,small,8,8,32,5,2,3,1.000000,1.015000,25000000.000000,24630541.871921,121.37,121370000.000000,439,290,164,73,0,0,3,198,0,0,
ok,conv1d_serial,small,4,4,16,5,1,5,5.000000,5.005000,5000000.000000,4995004.995005,122.00,24400000.000000,208,126,103,47,3,0,2,52,0,0,
ok,conv1d_serial,small,4,4,16,5,2,5,5.000000,5.005000,5000000.000000,4995004.995005,129.40,25880000.000000,223,141,102,47,3,0,2,68,0,0,
ok,conv1d_serial,small,4,4,32,5,1,5,5.000000,5.005000,5000000.000000,4995004.995005,101.25,20250000.000000,368,206,183,95,3,0,2,84,0,0,
ok,conv1d_serial,small,4,4,32,5,2,5,5.000000,5.005000,5000000.000000,4995004.995005,98.66,19732000.000000,383,221,182,95,3,0,2,100,0,0,
ok,conv1d_serial,small,4,8,16,5,1,5,5.000000,5.005000,5000000.000000,4995004.995005,122.00,24400000.000000,208,126,103,47,3,0,2,52,0,0,
ok,conv1d_serial,small,4,8,16,5,2,5,5.000000,5.005000,5000000.000000,4995004.995005,129.40,25880000.000000,223,141,102,47,3,0,2,68,0,0,
ok,conv1d_serial,small,4,8,32,5,1,5,5.000000,5.005000,5000000.000000,4995004.995005,101.25,20250000.000000,368,206,183,95,3,0,2,84,0,0,
ok,conv1d_serial,small,4,8,32,5,2,5,5.000000,5.005000,5000000.000000,4995004.995005,98.66,19732000.000000,383,221,182,95,3,0,2,100,0,0,
ok,conv1d_serial,small,8,4,16,5,1,5,5.000000,5.005000,5000000.000000,4995004.995005,125.64,25128000.000000,248,162,119,51,3,0,2,72,0,0,
